"Uninsured"
"Under 65 years | All Races | Both Sexes | All Incomes"
"","","","Uninsured","","","","Demographic Group",""
"Year","ID","Name","Number","Margin of Error","%","% Margin of Error","Number","Margin of Error"
"2023","48000","Texas","4,774,440","59,952","18.6","0.2","25,681,013","0"
"2023","48111","Dallam County, TX","1,709","180","26.8","2.8","6,367","0"
"2023","48001","Anderson County, TX","6,798","670","18.8","1.9","36,193","0"
"2023","48003","Andrews County, TX","3,589","339","21.5","2.0","16,665","0"
"2023","48005","Angelina County, TX","13,569","1,241","19.4","1.8","70,025","0"
"2023","48007","Aransas County, TX","3,137","332","17.6","1.9","17,799","0"
"2023","48009","Archer County, TX","1,174","124","16.5","1.7","7,104","0"
"2023","48011","Armstrong County, TX","115","16","8.4","1.2","1,372","0"
"2023","48013","Atascosa County, TX","8,178","802","18.7","1.8","43,661","0"
"2023","48015","Austin County, TX","4,796","463","19.4","1.9","24,699","0"
"2023","48017","Bailey County, TX","1,446","138","26.3","2.5","5,498","0"
"2023","48019","Bandera County, TX","2,831","300","17.9","1.9","15,858","0"
"2023","48021","Bastrop County, TX","19,425","1,618","21.2","1.8","91,427","0"
"2023","48023","Baylor County, TX","416","50","15.7","1.9","2,652","0"
"2023","48025","Bee County, TX","2,745","331","14.5","1.7","18,972","0"
"2023","48027","Bell County, TX","50,680","4,082","15.0","1.2","337,564","0"
"2023","48029","Bexar County, TX","301,375","13,703","16.9","0.8","1,778,778","0"
"2023","48031","Blanco County, TX","1,786","173","18.8","1.8","9,512","0"
"2023","48033","Borden County, TX","50","6","11.5","1.4","435","0"
"2023","48035","Bosque County, TX","2,753","260","19.5","1.8","14,102","0"
"2023","48037","Bowie County, TX","10,038","1,025","14.2","1.5","70,563","0"
"2023","48039","Brazoria County, TX","48,220","3,478","14.3","1.0","337,140","0"
"2023","48041","Brazos County, TX","32,724","2,754","16.6","1.4","197,709","0"
"2023","48043","Brewster County, TX","1,328","145","19.7","2.2","6,729","0"
"2023","48045","Briscoe County, TX","229","26","20.7","2.4","1,105","0"
"2023","48047","Brooks County, TX","930","118","17.9","2.3","5,196","0"
